id,cities,registration_date,start_date,days_reg_to_start,is_prospective,start_2006_2018,iv_status,recruitment_status,iv_interventional,study_type
NCT02727556,Tübingen,2016-03-21,2016-03-01T00:00:00Z,-20,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02728453,Hannover,2016-03-24,2016-04-27T00:00:00Z,34,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02728466,Düsseldorf,2016-03-09,2014-10-01T00:00:00Z,-525,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02728778,Hannover,2016-03-31,2016-09-01T00:00:00Z,154,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02731105,Dresden,2016-03-29,2015-02-01T00:00:00Z,-422,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02731547,Giessen,2016-04-03,2016-05-01T00:00:00Z,28,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02732626,Dresden,2016-03-23,2016-04-01T00:00:00Z,9,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02732782,Berlin,2016-03-22,2016-08-01T00:00:00Z,132,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02733367,Berlin,2016-03-16,2016-03-04T00:00:00Z,-12,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02734550,Erlangen Jena,2016-04-06,2016-09-12T00:00:00Z,159,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02734901,Düsseldorf,2016-03-09,2016-03-01T00:00:00Z,-8,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02735187,Aachen,2016-03-16,2016-03-01T00:00:00Z,-15,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02736760,Regensburg,2016-03-11,2016-03-03T00:00:00Z,-8,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02739685,Lübeck,2016-04-13,2016-09-01T00:00:00Z,141,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02739711,Lübeck,2016-04-13,2016-07-01T00:00:00Z,79,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02741973,Berlin,2016-03-23,2016-03-01T00:00:00Z,-22,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02742844,Würzburg,2016-04-07,2016-08-01T00:00:00Z,116,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02743260,Köln,2016-04-11,2016-04-01T00:00:00Z,-10,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02743988,Ulm,2016-04-07,2015-05-01T00:00:00Z,-342,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02744170,Marburg,2016-03-08,2016-04-01T00:00:00Z,24,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02744638,Kiel,2016-03-31,2015-02-01T00:00:00Z,-424,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02745340,TU München,2016-04-15,2016-05-01T00:00:00Z,16,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02745444,Köln,2016-03-29,2015-04-01T00:00:00Z,-363,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02745600,Leipzig,2016-03-23,2016-02-01T00:00:00Z,-51,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02746549,Erlangen,2015-10-08,2014-05-01T00:00:00Z,-525,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02746692,Frankfurt,2016-04-18,2016-07-01T00:00:00Z,74,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02747758,Berlin,2016-04-15,2016-09-19T00:00:00Z,157,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02747784,Berlin,2016-03-30,2017-07-25T00:00:00Z,482,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02748733,Heidelberg,2016-04-13,2016-04-01T00:00:00Z,-12,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02751125,Ulm,2016-03-22,2014-06-01T00:00:00Z,-660,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02751229,Ulm,2016-03-24,2016-05-01T00:00:00Z,38,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02751853,Lübeck,2016-04-19,2016-12-01T00:00:00Z,226,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02752113,Erlangen,2016-04-19,2016-04-01T00:00:00Z,-18,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02752802,Lübeck,2016-04-22,2016-04-01T00:00:00Z,-21,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02753608,Jena,2016-03-31,2016-06-28T00:00:00Z,89,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02754167,TU München,2016-04-14,2016-06-06T00:00:00Z,53,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02754466,Berlin,2016-04-18,2017-05-02T00:00:00Z,379,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02754778,Halle,2016-04-22,2016-04-01T00:00:00Z,-21,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02755246,Berlin,2016-04-05,2016-04-01T00:00:00Z,-4,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02758782,Berlin,2016-04-20,2016-09-01T00:00:00Z,134,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02760381,TU München,2016-04-23,2016-05-01T00:00:00Z,8,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02760680,Bochum,2016-04-20,2015-03-01T00:00:00Z,-416,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02764749,Düsseldorf,2016-05-04,2016-06-01T00:00:00Z,28,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02766972,Frankfurt,2016-04-29,2013-07-01T00:00:00Z,-1033,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02767167,Berlin,2016-05-04,2015-09-01T00:00:00Z,-246,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02770378,Ulm,2016-03-14,2016-11-01T00:00:00Z,232,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02771015,Köln,2015-09-08,2014-08-01T00:00:00Z,-403,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02771535,Hamburg,2016-04-05,2016-03-01T00:00:00Z,-35,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02771652,Erlangen,2016-05-04,2010-02-01T00:00:00Z,-2284,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02772146,Heidelberg,2016-05-09,2016-05-11T00:00:00Z,2,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02773966,Mannheim,2016-05-04,2017-11-12T00:00:00Z,557,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02774408,Ulm,2016-03-24,2016-06-01T00:00:00Z,69,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02775019,Würzburg,2016-05-13,2016-05-01T00:00:00Z,-12,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02775136,Göttingen,2016-05-13,2014-10-01T00:00:00Z,-590,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02775175,Duisburg,2016-05-14,2016-05-01T00:00:00Z,-13,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02775838,Erlangen Mannheim,2016-04-13,2016-04-01T00:00:00Z,-12,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02778269,Aachen,2016-05-09,2016-06-01T00:00:00Z,23,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02778906,Erlangen,2015-02-02,2014-11-01T00:00:00Z,-93,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02779114,Erlangen,2016-05-16,2009-01-01T00:00:00Z,-2692,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02779660,Leipzig,2016-05-12,2016-05-01T00:00:00Z,-11,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02781194,Aachen,2016-05-17,2016-07-01T00:00:00Z,45,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02782910,Dresden,2015-08-03,2017-01-01T00:00:00Z,517,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02783456,Erlangen,2016-04-27,2016-03-01T00:00:00Z,-57,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02784145,Homburg,2016-05-17,2016-05-01T00:00:00Z,-16,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02787122,Hamburg Marburg,2016-03-03,2014-01-01T00:00:00Z,-792,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02787135,Bochum Hamburg Marburg,2016-02-26,2016-05-01T00:00:00Z,65,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02787148,Marburg,2016-02-10,2015-10-01T00:00:00Z,-132,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02788448,Münster,2016-05-25,2016-01-01T00:00:00Z,-145,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02789254,Tübingen,2016-05-13,2017-02-07T00:00:00Z,270,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02789917,Göttingen Greifswald LMU München TU München,2016-05-24,2016-06-01T00:00:00Z,8,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02790073,Aachen,2016-05-25,2016-05-01T00:00:00Z,-24,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02790229,Leipzig,2016-05-29,2016-08-01T00:00:00Z,64,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02791282,Giessen Hannover Heidelberg LMU München,2016-06-01,2016-05-01T00:00:00Z,-31,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02791724,Hamburg,2016-06-01,2016-06-01T00:00:00Z,0,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02793193,Tübingen,2016-05-25,2016-07-01T00:00:00Z,37,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02793557,Berlin,2016-05-16,2016-01-01T00:00:00Z,-136,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02794259,Berlin,2016-04-05,2016-04-01T00:00:00Z,-4,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02794272,Berlin,2016-04-05,2016-04-01T00:00:00Z,-4,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02794298,Berlin,2016-04-05,2016-04-01T00:00:00Z,-4,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02794896,Heidelberg Mannheim,2016-05-12,2009-03-01T00:00:00Z,-2629,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02795702,Berlin,2016-04-05,2017-04-01T00:00:00Z,361,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
