doi,color_green_only,color,issn,journal,publisher,publication_date_unpaywall
10.1038/nature24628,green,green,"0028-0836,1476-4687",Nature,Springer Science and Business Media LLC,2017-11-01
10.1016/j.euroneuro.2015.04.002,closed,closed,0924-977X,European Neuropsychopharmacology,Elsevier BV,2015-08-01
